FirstName,LastName,StudentID,Gender,Age,Department,Attendance,Midterm,Assignment,Project,Final,GPA,Grade,study_hours_per_week,total_score,participation_in_class,participation_score,quizzes_avg
Divya,Jones,STU00001,Female,19,Physics,87.8,39.13,86.38,87.17,89.57,3.02,B,28.9,75.56,Low,29,85.1
Ravi,Jones,STU00002,Male,18,Mathematics,60.68,60.37,72.31,95.79,92.71,3.21,A,27.6,80.3,Low,37,41.01
Rahul,Singh,STU00003,Male,23,Mathematics,71.64,93.29,51.9,85.86,95.59,3.27,A,20.2,81.66,High,99,92.7
Isha,Williams,STU00004,Male,23,AI & ML,88.04,68.66,83.84,85.02,99.59,3.37,A,10.6,84.28,High,86,69.39
John,Singh,STU00005,Male,18,AI & ML,55.25,91.56,76.79,48.45,43.01,2.6,C,9.9,64.95,Medium,52,75.61
Sneha,Smith,STU00006,Female,18,Physics,76.3,57.39,76.5,78.15,87.8,3,B,21.8,74.96,High,98,46.69
Ahmed,Johnson,STU00007,Male,19,Physics,85.63,47.74,76.33,51.84,66.27,2.42,C,5.5,60.55,Medium,57,74.83
Liam,Yadav,STU00008,Female,24,Commerce,62.48,71.69,65.64,91.38,67.5,2.96,B,33.7,74.05,High,99,47.1
Pooja,Singh,STU00009,Female,23,AI & ML,53.03,69.79,69.91,79.83,39.71,2.59,C,5.7,64.81,High,96,50.36
Emma,Brown,STU00010,Male,24,Commerce,87.19,46.9,52.99,83.32,87.96,2.71,C,21.4,67.79,High,99,74.39
Ahmed,Smith,STU00011,Male,24,Mathematics,65.62,44.57,57.53,52.44,52.01,2.07,D,25.3,51.64,Medium,57,98.7
Imran,Yadav,STU00012,Male,22,Commerce,56.29,87.23,81.93,45.2,42.82,2.57,C,33.7,64.3,Medium,67,80.08
Kabir,Kumar,STU00013,Male,20,AI & ML,56.73,94.96,53.32,89.73,50.25,2.88,B,12.9,72.06,Medium,63,81.61
Sneha,Singh,STU00014,Male,21,Physics,64.73,83.77,78.9,47.65,68.91,2.79,C,30.1,69.81,High,95,98.45
Maria,Williams,STU00015,Female,20,Physics,60.09,63.08,58.99,91.21,85.51,2.99,B,11.5,74.7,High,84,54.61
Kabir,Smith,STU00016,Male,23,Commerce,66.42,78.99,80.7,41.65,79.16,2.8,B,20.8,70.12,Medium,66,87.19
Arjun,Davis,STU00017,Male,22,CS,99.55,97.32,88.18,41.36,45.93,2.73,C,29.9,68.2,High,90,47.98
Anjali,Singh,STU00018,Male,23,Physics,70.35,46.03,91.83,51.45,95.25,2.85,B,29.9,71.14,Medium,62,94.0
Meera,Yadav,STU00019,Female,24,Engineering,80.69,50.43,92.89,95.52,98.37,3.37,A,28.2,84.3,Medium,65,47.45
Anjali,Kumar,STU00020,Male,18,Mathematics,90.11,47.7,50.03,61.43,73.96,2.33,D,18.4,58.28,High,89,83.58
Simran,Sharma,STU00021,Male,23,Physics,90.3,91.27,75.09,62.77,59.02,2.88,B,10.2,72.04,Medium,60,41.31
Arjun,Singh,STU00022,Female,22,AI & ML,58.08,63.52,94.55,93.51,45.9,2.97,B,21.0,74.37,High,82,76.76
Karan,Verma,STU00023,Female,22,Mathematics,57.01,44.45,51.02,63.84,81.67,2.41,C,34.1,60.25,Medium,64,85.74
Isha,Verma,STU00024,Male,19,AI & ML,60.01,36.75,62.48,85.57,63.77,2.49,C,28.0,62.14,Low,31,54.82
Pooja,Smith,STU00025,Male,18,Engineering,69.11,58.96,76.25,60.14,57.9,2.53,C,33.7,63.31,Low,43,80.9
Rakesh,Jones,STU00026,Female,19,Physics,87.68,36.8,90.53,94.78,89.75,3.12,B,27.5,77.97,High,93,69.69
